epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1281.99,1.56114,0.95544,0.01111,0.88142,0.7518,0.85597,0.45265,1.72142,0.85955,0.0171,0.0013763,0.0013763,0.0013763
128,1291.31,1.50892,0.91753,0.01026,0.86081,0.78058,0.87789,0.48651,1.64148,0.77548,0.01593,0.00137135,0.00137135,0.00137135
129,1297.07,1.49066,0.88965,0.0103,0.86297,0.79287,0.84907,0.44621,1.70859,0.80988,0.01666,0.0013664,0.0013664,0.0013664
130,1302.58,1.54672,0.8994,0.01089,0.87994,0.7909,0.87124,0.4525,1.74957,0.76835,0.01734,0.00136145,0.00136145,0.00136145
131,1308.14,1.53318,0.87362,0.00991,0.9126,0.7518,0.86702,0.48609,1.6409,0.86073,0.01599,0.0013565,0.0013565,0.0013565
132,1313.66,1.51858,0.90701,0.01063,0.87385,0.79735,0.87846,0.47392,1.64418,0.80732,0.01585,0.00135155,0.00135155,0.00135155
133,1319.22,1.51819,0.91501,0.01011,0.86321,0.76978,0.86184,0.47118,1.6717,0.8734,0.01673,0.0013466,0.0013466,0.0013466
134,1324.69,1.51975,0.86692,0.01002,0.93499,0.776,0.88511,0.45311,1.77635,0.84482,0.0182,0.00134165,0.00134165,0.00134165
135,1330.32,1.48522,0.8815,0.00994,0.86249,0.78417,0.87322,0.46472,1.73489,0.77064,0.01763,0.0013367,0.0013367,0.0013367
136,1335.86,1.51176,0.87602,0.01028,0.83899,0.77338,0.86409,0.44342,1.77276,0.89584,0.01856,0.00133175,0.00133175,0.00133175
137,1341.55,1.56093,0.89651,0.0104,0.89924,0.80253,0.8828,0.48541,1.69361,0.87934,0.01704,0.0013268,0.0013268,0.0013268
138,1347.31,1.51274,0.87967,0.01009,0.89274,0.78058,0.88272,0.47796,1.67386,0.7747,0.01673,0.00132185,0.00132185,0.00132185
139,1353.06,1.52495,0.94599,0.01025,0.89594,0.74332,0.85282,0.44107,1.74635,0.88393,0.01763,0.0013169,0.0013169,0.0013169
140,1358.76,1.52673,0.91057,0.01036,0.8436,0.83453,0.89361,0.47858,1.70925,0.76492,0.01713,0.00131195,0.00131195,0.00131195
141,1364.5,1.49189,0.898,0.01037,0.86699,0.82014,0.89307,0.44642,1.7637,0.8119,0.01775,0.001307,0.001307,0.001307
142,1370.72,1.49256,0.88962,0.0102,0.89934,0.76259,0.87331,0.45656,1.7322,0.84707,0.01773,0.00130205,0.00130205,0.00130205
143,1376.65,1.50684,0.89247,0.00984,0.86631,0.79251,0.87752,0.48942,1.69253,0.85139,0.01636,0.0012971,0.0012971,0.0012971
144,1382.6,1.4942,0.87687,0.0101,0.87723,0.78777,0.88655,0.46221,1.74918,0.77351,0.01745,0.00129215,0.00129215,0.00129215
145,1388.26,1.49898,0.88261,0.01011,0.91566,0.78109,0.88476,0.46192,1.72787,0.77197,0.01713,0.0012872,0.0012872,0.0012872
146,1393.82,1.48941,0.87379,0.01012,0.84582,0.76959,0.84674,0.45174,1.72941,0.9025,0.0171,0.00128225,0.00128225,0.00128225
